actor,ga_gender,ga_accuracy
Armie Hammer ,male,86
Mouna Hawa ,female,97
Daniela Vega ,female,97
Alexandra Borbély ,female,98
Kamel El Basha,male,98
John Kerry ,male,99
Hana Sugisaki ,female,98
Dylan O'Brien (II),male,98
Lin Shaye ,female,58
Anthony Sadler ,male,99
Alex Roe ,male,92
Daniel Kaluuya ,male,99
Kumail Nanjiani ,male,98
Saoirse Ronan ,female,97
Fionn Whitehead ,male,83
Anthony Gonzalez (VIII),male,99
Gal Gadot ,male,64
Ansel Elgort ,male,94
Taraji P. Henson,male,66
Josh O'Connor ,male,99
Nahuel Pérez Biscayart,male,99
Harry Dean Stanton,male,98
Jarkko Lahti ,male,99
Menashe Lustig ,male,100
Michaël Dudok De,male,99
Ricardo Darín ,male,99
Rena Nounen ,female,93
Adrian Titieni ,male,98
Dave Johns ,male,99
Bill Skarsgård ,male,97
Adam Sandler ,male,99
Orna Banai ,female,96
Eili Harboe ,female,80
Garance Marillier ,female,96
Charlie Hunnam ,male,85
Saara Chaudry ,female,95
Florence Pugh ,female,97
Adan Jodorowsky ,male,97
Pierre Niney ,male,98
Roland Møller ,male,99
Vince Vaughn ,male,98
Justin Chon ,male,98
Nelly Karim ,female,92
Luke Evans ,male,99
Sherwan Haji ,male,96
Naomie Harris ,female,98
Ginnifer Goodwin ,female,67
Dale Dickey ,male,93
Ellen DeGeneres ,female,99
Auli'i Cravalho ,female,82
Art Parkinson ,male,91
Julian Dennison ,male,95
Anthony Weiner ,male,99
Keegan-Michael Key ,male,99
Anya Taylor-Joy ,female,97
Violett Beane ,female,93
Helen Mirren ,female,98
Ferdia Walsh-Peelo ,male,79
Miki Imai ,male,75
Kwak Do-won ,male,86
Royalty Hightower ,male,59
Narges Rashidi ,female,98
Jan Bijvoet ,male,92
PanteA Bahrami ,female,94
Peter Simonischek ,male,99
Theo Taplitz ,male,97
Sonia Braga ,female,98
Banlop Lomnoi ,,
Krisha Fairchild ,female,93
Paul McCartney ,male,99
Teo Corban ,male,91
Cliff Curtis ,male,99
Elon Musk ,male,90
Iggy Pop ,male,91
Jan Vokes ,male,92
Samantha Robinson (VI),female,98
Sigurður Sigurjónsson ,male,100
Tika Sumpter ,female,86
Gene Tognacci ,male,56
Haruka Ayase ,female,82
Bryce Dallas Howard,male,97
Rolf Lassgård ,male,99
Jane Levy ,female,97
Blake Jenner ,male,96
Eugene Cernan ,male,97
Pilou Asbæk ,male,86
Jae-yeong Jeong ,male,75
Anne Watanabe ,female,98
Max Records ,male,98
Ice Cube ,male,62
Gary D. Brown,male,99
Luci Christian ,female,82
William Genovese ,male,99
Mindy Kaling ,female,98
Maika Monroe ,female,95
Justin Fletcher ,male,98
Géza Röhrig ,male,96
Charlotte Rampling ,female,96
Hugh Bonneville ,male,99
Melissa McCarthy ,female,98
Ibrahim Ahmed ,male,97
Günes Sensoy ,female,69
Amy Winehouse ,female,98
Ronit Elkabetz ,male,76
Kitana Kiki Rodriguez,female,91
Jemaine Clement ,male,60
Seymour Bernstein ,male,95
Chaitanya Tamhane ,male,94
Iris Apfel ,female,97
Ron Davis ,male,99
Kurt Cobain ,male,99
Adi Rukun ,male,92
Alfred Hitchcock ,male,98
Bel Powley ,female,64
Jacir Eid Al-Hwietat,male,95
Laurie Anderson ,female,95
Assa Sylla ,female,50
Vyacheslav Fetisov ,male,100
Lily Tomlin ,female,97
Dick Cavett ,male,98
Sebastião Salgado ,male,100
Desiree Akhavan ,female,98
Paul Haggis ,male,99
Alba Rohrwacher ,female,96
Roy Dupuis ,male,98
Vinícius Garcia ,male,100
Barbara Crampton ,female,98
Chiara D'Anna ,female,99
Herb Alpert ,male,99
Blythe Danner ,female,86
Amy Schumer ,female,98
Tenoch Huerta Mejía,male,100
Janis Joplin ,male,57
Kathleen Cleaver ,female,99
Elisabeth Moss ,female,98
Ian McKellen ,male,99
Maggie Smith ,female,99
Gabriela Paterito ,female,98
Kiernan Shipka ,male,76
Noah Schnapp ,male,96
Fabrizio Ferracane ,male,99
Joséphine Japy ,female,97
Shameik Moore ,,
Anne Dorval ,female,98
Kurt Russell ,male,99
Rinko Kikuchi ,male,59
Zsófia Psotta ,female,98
Ellar Coltrane ,,
Essie Davis ,female,92
Roger Ebert ,male,99
Aleksey Serebryakov ,male,99
Chris Pratt ,male,93
Jack O'Connell ,male,97
Michel Seydoux ,male,97
Mira Barkhammar ,female,80
Glenn Greenwald ,male,98
Macon Blair ,male,69
Angeli Bayani ,female,85
Sheila Vand ,female,98
Jay Reinke ,male,93
Elaine Stritch ,female,98
John Lithgow ,male,99
Melvil Poupaud ,male,94
Lisa Loven Kongsli,female,98
Vivian Maier ,female,93
Nick Cave ,male,98
Sitthiphon Disamoe ,male,100
Savas Dimopoulos ,male,96
Chabbi Lal Gandharba,male,63
Ryan Potter ,male,99
Nicholas Penny ,male,100
Stuart Herrington ,male,99
Pierre Deladonchamps ,male,98
Jenny Slate ,female,98
Tyler James Williams,male,97
Hideaki Anno ,male,99
André Dussollier ,male,99
Lika Babluani ,female,92
Aaron Swartz ,male,99
Tim Jenison ,male,99
Luminita Gheorghiu ,female,99
Jon Favreau ,male,99
Adam Bakri ,male,99
Chris Rock ,male,93
Matt Berninger ,male,100
Dan Stevens (IV),male,97
John Wojtowicz ,male,99
Mark Landis ,male,99
George Takei ,male,99
Carla Juri ,female,98
Adam Winfield ,male,99
Rajesh Tailang ,male,100
Kambozia Partovi ,,
Reese Witherspoon ,male,62
Léa Drucker ,female,98
Héloïse Godet ,female,95
Masaharu Fukuyama ,male,99
Reece Shearsmith ,male,97
Emily Foxler ,female,98
Sandra Bullock ,female,98
Chiwetel Ejiofor ,,
Chris Botti ,male,93
Reem Abdullah ,female,95
John Hargrove ,male,99
Khalid Abdalla ,male,98
Julia Louis-Dreyfus ,female,97
Anwar Congo ,male,96
Bruce Dern ,male,99
Conner Chapman ,male,96
David Kato ,male,99
Alec Baldwin ,male,89
Amalie Ihle Alstrup,female,97
Michael Polley ,male,99
Gregg Allman ,male,99
Bill Blakemore ,male,97
Noriko Shinohara ,female,96
Saskia Rosendahl ,female,98
Ramón Barea ,male,99
Divine  ,female,56
Kevin Pearce [snow],male,99
Ami Ayalon ,female,68
LeRoy Carhart ,male,93
Lake Bell ,male,75
Bobby Sommer ,male,97
Rachel Mwanza ,female,98
Tao Zhao ,male,87
Louis Koo ,male,97
"Bobby Hackney, Sr.",male,97
James Cromwell ,male,99
Cosmina Stratan ,female,97
Bradley Manning ,male,99
Tashiana R. Washington,female,100
Cosimo Rega ,male,99
Tobi Vail ,male,94
Hadas Yaron ,female,93
Amy Seimetz ,female,98
Amy Acker ,female,98
Jude Law ,male,83
Fady Elsayed ,male,96
Barbara Sukowa ,female,98
Patrick Riester ,male,99
Alice Lowe (III),female,98
Bill Sage ,male,97
Toby Jones ,male,94
Ohad Knoller ,male,100
  ,,
  ,,
  ,,
Jiro Ono ,male,95
Kristen Connolly ,female,97
Jared Gilman ,male,99
Gary Bond ,male,99
Peter Staley ,male,99
Amy Ziering Kofman,female,98
Mohamed Fellag ,male,98
Jean-Louis Trintignant ,male,99
  ,,
  ,,
  ,,
Damien Echols ,male,99
Daniel Day-Lewis ,male,99
Evan Osnos ,male,97
Ginger Baker ,female,90
Bill Courtney ,male,97
Alex Gibney ,male,92
Mohamed Nasheed ,male,98
Mirai Shida ,female,66
Anders Danielsen Lie,male,99
Carey Gibson ,female,57
Rita Marley ,female,98
Rodriguez (VIII) ,male,78
James Balog ,male,99
Justus Williams ,male,98
Jamie Foxx ,male,62
Nikolaj Coster-Waldau ,male,99
Emad Burnat ,male,98
Marina Abramovic ,female,98
Diana Vreeland ,female,98
Denis Lavant ,male,97
Michelle Alexander ,female,97
Suraj Sharma ,male,100
Jasna Fritzi Bauer,female,98
Ed Koch ,male,98
Miko Fogarty ,male,72
Koki Maeda ,male,59
Aubrey Plaza ,female,57
Nadezhda Markina ,female,98
Charlie Tahan ,male,85
Muhammet Uzuner ,male,97
Helene Bergsholm ,female,98
Keanu Reeves ,male,98
Ann Dowd ,female,97
Dwight Henry ,male,99
Shlomo Bar-Abba ,male,99
Robert Wieckiewicz ,male,99
Logan Lerman ,male,92
Dane DeHaan ,male,91
Richard Chamberlain ,male,99
Karin Viard ,female,97
János Derzsi ,male,99
Iko Uwais ,male,73
Bob Young II,male,97
Ja'Meya Jackson ,,
Emayatzy E. Corinealdi,,
Dree Hemingway ,male,69
Limara Meneses ,female,91
Romain Duris ,male,99
Stephanie Sigman ,female,98
Jérémie Elkaïm ,male,99
Joel Kinnaman ,male,99
Gina Carano ,female,98
Kelly Macdonald ,female,88
Liam Neeson ,male,99
Tommy Stevens ,male,98
Leila Hatami ,female,98
Garry Harris ,male,98
Yun Junghee ,male,51
Eddie Bocanegra ,male,98
André Wilms ,male,99
Ed Wolf ,male,98
Gaspar Galaz ,male,97
Tom Wolfe ,male,99
Tom Cruise ,male,99
Dominique Baffier ,male,57
Koji Yakusho ,male,98
Owen Wilson ,male,98
Paul Giamatti ,male,99
Jake Gyllenhaal ,male,98
Zoé Héran ,female,94
Pina Bausch ,female,94
Tom Cullen ,male,99
Adepero Oduye ,,
Christine Bottomley ,female,98
Igor Sergeev ,male,99
Kevin Clash ,male,99
Lubna Azabal ,female,97
Ayrton Senna ,male,98
Joyce McKinney ,female,97
Michael Lonsdale ,male,99
Richard Lopez ,male,99
James McAvoy ,male,99
Jim Cummings ,male,99
Giuseppe Fuda ,male,99
Stellan Skarsgard ,male,93
Wagner Moura ,male,98
Johnny Depp ,male,99
Roger Corman ,male,99
Ye Liu ,male,75
Gilles Lellouche ,male,99
Stokely Carmichael ,male,82
Steve Coogan ,male,99
Buck Brannaman ,male,93
Q-Tip  ,female,62
Craig Roberts ,male,100
Thanapat Saisaymar ,male,96
Josiane Balasko ,female,98
Luis Tosar ,male,99
Emile Abossolo-M'bo ,male,94
Mia Wasikowska ,female,97
Jacob Wysocki ,male,99
Eddie Redmayne ,male,98
Demian Bichir ,male,98
Bobby Fischer ,male,97
Martina Gusman ,female,99
Chris Evans ,male,93
Patsha Bay ,,
Nikohl Boosheri ,female,100
Mélanie Thierry ,female,98
Agnes Kittelsen ,female,98
Alan Tudyk ,male,99
Chris Hemsworth ,male,93
Adriano Luz ,male,99
Peter Mullan ,male,99
Antonio Banderas ,male,99
Elia Suleiman ,male,61
Glenn Erland Trosterud,male,98
Tom Hanks ,male,99
Jay Baruchel ,male,93
Hailee Steinfeld ,female,99
Vik Muniz ,male,81
Tahar Rahim ,male,97
Changua Zhang ,,
James Franco ,male,99
Dan Kearney ,male,97
Banksy  ,male,94
Jennifer Lawrence ,female,98
Shahir Kabaha ,male,100
Hye-ja Kim ,male,64
Christian Bale ,male,99
Jim Broadbent ,male,99
Michael Stephenson ,male,99
Leonardo DiCaprio ,male,99
Negar Shaghaghi ,female,98
Edgar Ramirez ,male,99
Mandy Moore ,female,96
Katie Jarvis ,female,99
Rowan McNamara ,male,69
Joan Rivers ,male,56
Soledad Villamil ,female,98
Giovanna Mezzogiorno ,female,97
Sylvie Testud ,female,98
Jean-Claude Donda ,male,99
Christos Stergioglou ,male,99
Venise du Bois,female,93
Eliot Spitzer ,male,97
Jorge Machado ,male,99
Yoav Donat ,male,99
Onni Tommila ,male,87
Brian Murray ,male,99
Donna Cutugno ,female,98
Ryan Reynolds ,male,99
Louis-Do de Lencquesaing,male,94
Jakob Cedergren ,male,99
Isabelle Huppert ,female,98
Robert Duvall ,male,99
Emir Kusturica ,male,97
Steve Evets ,male,99
Dr. Albert C.,,
Kelly O'Neill ,female,88
Riz Ahmed ,male,83
Michael Duchaussoy ,male,99
Benno Fürmann ,male,99
Song Kang-ho ,male,74
Gemma Arterton ,female,98
Nev Schulman ,male,79
Vincent Lindon ,male,99
Will Ferrell ,male,97
Andy Garcia ,male,95
Patricia Clarkson ,female,98
Jacques Perrin ,male,98
Michael Douglas ,male,99
Aaron Taylor-Johnson ,male,99
Naomi Watts ,female,98
Valerie Plame Wilson,female,97
Lena Dunham ,female,98
Grigoriy Dobrygin ,male,100
Ryan Kwanten ,male,99
Adrien Brody ,male,98
Émilie Dequenne ,female,97
Jean Dujardin ,male,89
Emma Thompson ,female,91
Edward Asner ,male,99
Steve Lips Kudlow,male,99
Rafi Nabzaada ,male,85
Carey Mulligan ,female,57
Alison Lohman ,female,93
Sharlto Copley ,,
Tom Hollander ,male,99
Reza Naji ,male,97
John Ahern ,male,99
Johannes Krisch ,male,99
Gabourey Sidibe ,,
Brad Pitt ,male,100
Eric Schlosser ,male,99
Richard O'Barry ,male,99
Askhat Kuchinchirekov ,male,100
Daniel Ellsberg ,male,99
Perry Benson ,male,91
Red West ,male,79
Pablo Fajardo ,male,99
Teruyuki Kagawa ,male,100
Charles Berling ,male,98
Noah Cyrus ,male,96
Norman Lear ,male,99
Catalina Saavedra ,female,96
Baayork Lee ,,
Tony Leung Chiu,male,99
Toni Servillo ,male,86
Maria Heiskanen ,female,97
Daniel Radcliffe ,male,99
Robin Williams ,male,75
Daniel Craig ,male,99
Michael Nyqvist ,male,99
Yolande Moreau ,female,98
Paulina Gaitan ,female,96
Bill Hader ,male,97
Anika Noni Rose,female,97
Colin Firth ,male,99
Zac Efron ,male,98
Russell Crowe ,male,99
Gianni Di Gregorio,male,99
Christian Friedel ,male,99
Mike Tyson ,male,99
Katie Featherston ,female,99
Nisreen Faour ,female,99
Jocelin Donahue ,male,55
James Earl Jones,male,99
Hee Yeon Kim,male,55
Wayne McGregor ,male,99
Sophie Okonedo ,female,98
Clint Eastwood ,male,99
Anna Wintour ,female,98
James Brown (II),male,99
Stephen McHattie ,male,99
Ok-bin Kim ,male,85
Michael Jai White,male,99
Colin Beavan ,male,99
Mark Duplass ,male,99
Alyson Michalka ,female,85
Stéphane Aubier ,male,98
Jack White ,male,97
Masahiro Motoki ,male,100
Joshua M. Harris,male,100
Melissa George ,female,98
Thora Birch ,female,65
Charles Clover ,male,98
Mickey Rourke ,male,79
Philippe Petit ,male,99
Ben Burtt ,male,97
Kåre Hedebrant ,male,99
Dev Patel ,male,97
Hiroshi Abe ,male,99
Frank Langella ,male,99
Ari Folman ,male,77
Huang Wei ,male,62
Alex Descas ,male,92
Mark Smelly Bell,male,99
Kimberly Rivers Roberts,female,98
Agnès Varda ,female,98
Alejandro Polanco ,male,99
Salvatore Ruocco ,male,99
Venkatesh Chavan ,male,100
Algenis Perez Soto,male,98
Phillip Adams ,male,99
John Travolta ,male,99
David Bagby ,male,99
Ron Perlman ,male,99
Nadine Labaki ,female,98
Micheal J. Smith,male,98
Greg Kinnear ,male,99
Melissa Leo ,female,98
Matt Boren ,male,100
Nicolas Cazale ,male,99
Anne Hathaway ,female,98
Jack Black ,male,97
Joan Chen ,male,56
Colin Farrell ,male,99
Mick Jagger ,male,98
David M. Walker,male,99
Hunter S. Thompson,male,96
Luke Ford ,male,99
Sarah Adler ,female,98
Joaquin Phoenix ,male,99
Javier Bardem ,male,99
Tadanobu Asano ,male,100
Arta Dobroshi ,female,80
Scoot McNairy ,male,95
Jean-Claude Van Damme,male,99
Oshri Cohen ,male,100
Martina Gedeck ,female,99
Roman Polanski ,male,98
Jim Sturgess ,male,99
Freddie Highmore ,male,95
Lizzy Caplan ,female,97
Hank Azaria ,male,99
Jim Carrey ,male,99
Ed Harris ,male,98
Maggie Cheung ,female,99
Ivan Barnev ,male,99
Kate Beckinsale ,female,98
Elmar Wepper ,male,98
Javal Davis ,male,89
Nina Hoss ,female,98
Abigail Breslin ,female,98
Steve Zissis ,male,99
Ezra Miller ,male,86
Tomas Young ,male,99
Yavuz Bingöl ,male,96
Pauline Acquart ,female,96
Ryo Kase ,male,97
Adrian Alonso ,male,98
Hannah Bailey ,female,99
Edward Norton ,male,99
Manie Malone ,male,65
Sarah Kazemy ,female,98
Patton Oswalt ,male,92
Lambert Wilson ,male,90
Gisèle Casadesus ,female,97
Joachim Rafaelsen ,male,99
Tyler Labine ,male,97
Natalie Portman ,female,98
Maria João Bastos,female,97
Marisa Paredes ,female,98
Saleh Bakri ,male,98
Glenn Erland Tosterud,male,98
Tim Allen ,male,99
Gerard Butler ,male,98
Helena Bonham Carter,female,99
William Ackman ,male,99
Fabio Ghivelder ,male,99
Niels Arestrup ,male,99
Suqin Chen ,female,100
Amber Tamblyn ,female,97
Lamonta Caldwell ,,
John Hawkes ,male,99
Ibrahim Ferrer ,male,97
Ruth Sheen ,female,98
Darren Ewing ,male,99
Joseph Gordon-Levitt ,male,99
Ashkan Koshanejad ,male,99
Alexander Scheer ,male,99
Zachary Levi ,male,100
Dannie Tillman ,male,51
Michael Fassbender ,male,99
Marissa Gibson ,female,97
Kathy Griffin ,female,98
Guillermo Francella ,male,99
Fabrizio Costella ,male,99
Chloë Grace Moretz,female,98
Eilidh Rankin ,female,99
Michelle Valley ,female,97
Evan McGuire ,male,97
Joseph Bruno ,male,99
Roberta Palombini ,female,96
Jorma Tommila ,male,97
Karen Schweiger ,female,96
Penn Badgley ,male,72
Ivana Miño ,female,97
Chiara Caselli ,female,99
Amanda Peet ,female,98
Lene Maria Christensen,female,98
Mary Elizabeth Winstead,female,98
Christopher Lambert ,male,99
Anthony Hayes ,male,99
Diane Kruger ,female,98
Eric Cantona ,male,99
John Street ,male,99
Shane Curry ,male,93
Arsher Ali ,male,100
Jonah Hill ,male,91
Vincent Cassel ,male,99
Florian Lukas ,male,99
Lee Byung-hun ,male,82
Flavio Parenti ,male,99
Martin Compston ,male,98
Angela Wesselman-Pierce ,female,98
Sandrine Kiberlain ,female,98
Sean Penn ,male,99
Mark Wahlberg ,male,99
Julianna Margulies ,female,98
Bob Hoskins ,male,97
Alexander Siddig ,male,99
Pierce Brosnan ,male,94
Cécile De France,female,98
Susan Sarandon ,female,98
Nicolas Cage ,male,99
Annette Bening ,female,98
Valerine Plame Wilson,female,100
Laurie Simmons ,female,95
Kerry Washington ,female,75
Sergei Puskepalis ,male,99
Steve Bisley ,male,99
Sarah Polley ,female,98
Catherine Deneuve ,female,98
Louise Monot ,female,97
Slash  ,male,94
Rafi Naabzada ,male,85
Justin Long ,male,98
David James ,male,99
Peter Capaldi ,male,99
Maryam Akbari ,female,98
Pat Connolly ,male,61
Irina Potapenko ,female,98
Mo'Nique  ,female,98
Mélanie Laurent ,female,98
Michael Pollan ,male,99
Simon Hutchins ,male,98
Samal Yeslyamova ,male,52
Jesse Eisenberg ,male,93
Maggie Gyllenhaal ,female,99
Patricia Marx Ellsberg,female,98
Thomas Turgoose ,male,99
Souleymane Sy Savane,male,98
Richard Kind ,male,99
Luis Yanza ,male,99
Kyôko Koizumi ,,
Juliette Binoche ,female,97
Yuria Nara ,female,89
Timothy Spall ,male,99
Maja Ostaszewska ,female,97
Dominique McElligott ,male,57
Viola Harris ,female,97
Claudia Celedón ,female,98
Ali Suliman ,male,94
Donna McKechnie ,female,98
Liam Cunningham ,male,99
Takeshi Kaneshiro ,male,99
Anna Bonaiuto ,female,98
Jesper Christensen ,male,99
Sam Worthington ,male,85
Emma Watson ,female,91
Daryl Sabara ,male,94
